Analysis Report of WFO Plant Samples 2024-25,,,,,,,,,
date,time,column,%of napthalene oil in following ,% of napthalene oil,,,,,
08.08.25,0.600AM,C-03-T,Naphthalene Oil,87.71,,,,,
08.08.25,0.600AM,C-02-T,Light Oil,53.42,,,,,
08.08.25,0.600AM,C-03-B,Wash Oil,1.25,,,,,
08.08.25,0.600AM,C-01-B,Anthracene Oil,0.03,,,,,
08.08.25,09.30AM,P-01,WFO,56.38,,,,,
08.08.25,11.30AM,C-02-T,Light Oil,8.02,,,,,
08.08.25,03.15PM,C-03-T,Naphthalene Oil,87.05,,,,,
08.08.25,03.15PM,C-02-T,Light Oil,8.24,,,,,
08.08.25,06.30AM,P-01,WFO,57.03,,,,,
08.08.25,07.30PM,C-03-B,Wash Oil,0.01,,,,,
08.08.25,07.30PM,C-01-B,Anthracene Oil,0.02,,,,,
09.08.25,12.15AM,C-03-T,Naphthalene Oil,86.76,,,,,
09.08.25,12.15AM,C-02-T,Light Oil,8.83,,,,,
09.08.25,12.15AM,C-03-B,Wash Oil,0.02,,,,,
09.08.25,12.15AM,C-01-B,Anthracene Oil,0.07,,,,,
09.08.25,07.00AM,C-03-T,Naphthalene Oil,86.8,,,,,
09.08.25,07.00AM,C-03-B,Wash Oil,0.01,,,,,
09.08.25,07.00AM,C-01-B,Anthracene Oil,0.54,,,,,
09.08.25,9.10AM,P-01,WFO,57.43,,,,,
09.08.25,12.50PM,C-03-T,Naphthalene Oil,82.22,,,,,
09.08.25,12.50PM,C-02-T,Light Oil,9.75,,,,,
09.08.25,03.30PM,C-03-T,Naphthalene Oil,85.96,,,,,
09.08.25,03.30PM,C-02-T,Light Oil,15.24,,,,,
09.08.25,03.30PM,C-03-B,Wash Oil,0.18,,,,,
09.08.25,03.30PM,C-01-B,Anthracene Oil,0.02,,,,,
09.08.25,07.00PM,P-01,WFO,51.46,,,,,
09.08.25,09.30PM,C-03-T,Naphthalene Oil,87.61,,,,,
10.08.25,12.30AM,C-03-T,Naphthalene Oil,85.78,,,,,
10.08.25,12.30AM,C-02-T,Light Oil,12.45,,,,,
10.08.25,12.30AM,C-03-B,Wash Oil,0.03,,,,,
10.08.25,12.30AM,C-01-B,Anthracene Oil,0.01,,,,,
10.08.25,06.40AM,C-03-T,Naphthalene Oil,84.61,,,,,
10.08.25,06.40AM,C-02-T,Light Oil,16.41,,,,,
10.08.25,06.40AM,C-03-B,Wash Oil,0.02,,,,,
10.08.25,06.40AM,C-01-B,Anthracene Oil,0.1,,,,,
10.08.25,08.45AM,P-01,WFO,58.2,,,,,
10.08.25,02.50PM,C-03-T,Naphthalene Oil,86.26,,,,,
10.08.25,02.50PM,C-03-B,Wash Oil,0.03,,,,,
10.08.25,02.50PM,C-01-B,Anthracene Oil,0.07,,,,,
10.08.25,05.30PM,P-01,WFO,58.56,,,,,
10.08.25,07.15PM,C-03-T,Naphthalene Oil,91.4,,,,,
10.08.25,07.15PM,C-02-T,Light Oil,9,,,,,
11.08.25,12.20AM,C-03-T,Naphthalene Oil,89.53,,,,,
11.08.25,12.20AM,C-02-T,Light Oil,13.55,,,,,
11.08.25,12.20AM,C-03-B,Wash Oil,0.08,,,,,
11.08.25,12.20AM,C-01-B,Anthracene Oil,0.03,,,,,
11.08.25,06.10AM,C-03-T,Naphthalene Oil,89.25,,,,,
11.08.25,06.10AM,C-02-T,Light Oil,13.54,,,,,
11.08.25,06.10AM,C-03-B,Wash Oil,0.06,,,,,
11.08.25,06.10AM,C-01-B,Anthracene Oil,0.05,,,,,
11.08.25,08.35AM,P-01,WFO,56.2,,,,,
11.08.25,11.30AM,C-02-T,Light Oil,13.58,,,,,
11.08.25,12.20PM,C-03-B,Wash Oil,0.16,,,,wash oil,2
11.08.25,06.00PM,C-03-T,Naphthalene Oil,89.03,,,,,
11.08.25,06.00PM,C-03-B,Wash Oil,0.09,,,,anthracene oil,1
11.08.25,06.00PM,P-01,WFO,56.06,,,,,
12.08.25,12.40AM,C-03-T,Naphthalene Oil,87.55,,,,,
12.08.25,12.40AM,C-02-T,Light Oil,14.09,,,,,
12.08.25,12.40AM,C-03-B,Wash Oil,0.07,,,,light oil ,15
12.08.25,12.40AM,C-01-B,Anthracene Oil,0.17,,,,,
12.08.25,06.40AM,C-03-T,Naphthalene Oil,87.8,,,,,
12.08.25,06.40AM,C-02-T,Light Oil,12.97,,,,,
12.08.25,06.40AM,C-03-B,Wash Oil,0.04,,,,,
12.08.25,06.40AM,C-01-B,Anthracene Oil,0.07,,,,,
12.08.25,09.00AM,P-01,WFO,52.72,,,,,
12.08.25,12.00PM,C-02-T,Light Oil,12.39,,,,,
12.08.25,01.00PM,C-03-T,Naphthalene Oil,88.59,,,,,
12.08.25,01.00PM,C-02-T,Light Oil,19.38,,,,,
12.08.25,01.00PM,C-03-B,Wash Oil,0.06,,,,,
12.08.25,01.00PM,C-01-B,Anthracene Oil,0.12,,,,,
12.08.25,06.00PM,P-01,WFO,51.85,,,,,
12.08.25,07.15PM,C-03-T,Naphthalene Oil,89.38,,,,,
12.08.25,07.15PM,C-03-B,Wash Oil,0.06,,,,,
13.08.25,12.30AM,C-03-T,Naphthalene Oil,88.3,,,,,
13.08.25,12.30AM,C-02-T,Light Oil,0.92,,,,,
13.08.25,12.30AM,C-03-B,Wash Oil,0.08,,,,,
13.08.25,12.30AM,C-01-B,Anthracene Oil,0.11,,,,,
13.08.25,06.40AM,C-03-T,Naphthalene Oil,87.95,,,,,
13.08.25,06.40AM,C-02-T,Light Oil,12.14,,,,,
13.08.25,06.40AM,C-03-B,Wash Oil,0.04,,,,,
13.08.25,06.40AM,C-01-B,Anthracene Oil,0.29,,,,,
13.08.25,09.00AM,P-01,WFO,52.12,,,,,
13.08.25,11.20AM,C-03-T,Naphthalene Oil,89.46,,,,,
13.08.25,11.20AM,C-02-T,Light Oil,16.64,,,,,
13.08.25,11.30AM,C-01-B,Anthracene Oil,0.12,,,,,
13.08.25,12.30AM,C-03-B,Wash Oil,0.04,,,,,
13.08.25,05.20PM,C-03-T,Naphthalene Oil,90.52,,,,,
13.08.25,05.20PM,C-02-T,Light Oil,13.02,,,,,
14.08.25,01.40AM,C-03-T,Naphthalene Oil,88.25,,,,,
14.08.25,01.40AM,C-03-B,Wash Oil,0.02,,,,,
14.08.25,01.40AM,C-01-B,Anthracene Oil,0.1,,,,,
14.08.25,02.30AM,C-02-T,Light Oil,10.59,,,,,
14.08.25,04.30AM,C-02-T,Light Oil,14.17,,,,,
14.08.25,07.30AM,C-03-T,Naphthalene Oil,91,,,,,
14.08.25,07.30AM,C-02-T,Light Oil,12.25,,,,,
14.08.25,07.30AM,C-03-B,Wash Oil,0.1,,,,,
14.08.25,07.30AM,C-01-B,Anthracene Oil,0.04,,,,,
13.08.25,06.30PM,P-01,WFO,51.46,,,,,
14.08.25,09.00AM,P-01,WFO,50.64,,,,,
